FIPS,GEOID,Rent00,Rent10,Rent15,Rent_ch00_10,Rent_ch10_15,Pop00,Pop10,Pop15,Pop_Ch00_10,Pop_Ch10_15,medinc_00,medinc_10,medinc_15,inc_ch00_10,inc_ch10_15,renter_00,renter_10,renter_15,renter00_10,renter10_15,own_0010,own_1015,coc_00,coc_10,coc_15,coc00_10,coc10_15,lowinc_00,lowinc_10,lowinc_15,lowinc_ch00_10,lowinc_ch10_15,af_00,per_af_00,af_10,per_af_10,af_15,per_af_15,af_ch_00_10,af_ch_10_15,MHV_00,MHV_10,MHV_15,App90_00,App00_10,App10_15,App90_10,App00_15,R_MHV00,R_MHV10,R_MHV15,NH,ZRI10,ZRI15,MHSP_2000,MHSP_2010,MHSP_2015,MHSP00_10,MHSP10_15
41051001802,41051001802,629,790,871,0.256,0.103,3164,3237,3604,0.023,0.113,45737,47717,55526,0.043,0.164,0.459,0.453,0.527,-0.006,0.074,0.58,-0.074,0.116,0.086,0.148,-0.03,0.062,0.408,0.474,0.398,0.066,-0.076,654,0.495,660,0.493,610,0.44,0.009,-0.076,188600,383700,385400,1.268489309,1.305997967,0.004430545,1.034464475,1.043478261,1.217559716,1.314041096,1.305997967,Mount Tabor,1412,2302,196178.125,346137.093,573142.7632,0.764402086,0.655825899
41051001900,41051001900,590,892,954,0.512,0.07,4788,5014,4732,0.047,-0.056,71301,97525,102431,0.368,0.05,0.136,0.125,0.145,-0.011,0.02,1.15,-0.02,0.08,0.109,0.105,0.029,-0.004,0.186,0.16,0.223,-0.026,0.063,201,0.129,190,0.123,255,0.175,-0.055,0.342,246100,482200,558900,1.82895198,1.89393426,0.15906263,0.959366111,1.271028037,1.588766946,1.651369863,1.89393426,Laurelhurst,1724,2887,269707.7143,460797.1,653525.2688,0.708505451,0.418249526
41051002000,41051002000,565,731,937,0.294,0.282,5350,5433,5924,0.016,0.09,32921,36134,47698,0.098,0.32,0.766,0.725,0.718,-0.041,-0.007,4.11,0.007,0.168,0.094,0.155,-0.074,0.061,0.523,0.578,0.482,0.055,-0.096,2245,0.793,2170,0.742,1920,0.645,-0.033,-0.115,176900,357200,362700,1.269190326,1.22907489,0.015397536,1.019219898,1.05031091,1.142027114,1.223287671,1.22907489,Kerns,1369,2029,184391.3235,342798.48,410488,0.859081401,0.197461552
41051002100,41051002100,525,732,895,0.394,0.223,2215,2049,2157,-0.075,0.053,22271,29138,38702,0.308,0.328,0.863,0.84,0.851,-0.023,0.011,2.29,-0.011,0.193,0.103,0.19,-0.09,0.087,0.706,0.682,0.618,-0.024,-0.064,1043,0.866,1145,0.851,855,0.718,0.098,-0.253,175700,377700,383500,1.359971959,1.299559471,0.015356103,1.149686966,1.18269778,1.134280181,1.293493151,1.299559471,Kerns,1369,2029,170113.3333,341625,486069.2308,1.00822001,0.422815165
41051002203,41051002203,525,850,873,0.619,0.027,2920,3664,3438,0.255,-0.062,20767,50847,50511,1.448,-0.007,0.611,0.603,0.637,-0.008,0.035,4.705,-0.034,0.52,0.511,0.329,-0.009,-0.182,0.636,0.471,0.406,-0.164,-0.065,878,0.791,795,0.605,719,0.523,-0.095,-0.096,138800,356900,357600,1.141955836,1.211792613,0.001961334,1.571325648,1.576368876,0.896061975,1.222260274,1.211792613,Eliot,1412,2033,142106.6667,299818.6486,429422.7353,1.109814097,0.432274934
41051002303,41051002303,691,1083,1049,0.567,-0.031,1416,1842,2099,0.301,0.14,23862,35096,38450,0.471,0.096,0.859,0.82,0.859,-0.039,0.039,6.55,-0.039,0.309,0.229,0.305,-0.081,0.076,0.653,0.639,0.523,-0.014,-0.116,415,0.498,450,0.448,499,0.446,0.084,0.109,141650,250000,317900,1.063091483,1.077261945,0.2716,0.764913519,1.244264031,0.914460943,0.856164384,1.077261945,Sullivan's Gulch,1281,1620,133033.3333,242975,338000,0.826421949,0.391089618
41051002401,41051002401,709,1080,1449,0.523,0.342,2782,2940,2854,0.057,-0.029,63250,95500,102500,0.51,0.073,0.241,0.167,0.224,-0.074,0.057,7.41,-0.057,0.279,0.213,0.109,-0.067,-0.104,0.284,0.19,0.1,-0.094,-0.09,282,0.307,163,0.172,45,0.05,-0.422,-0.724,235100,497400,576300,2.005608132,1.952897323,0.158624849,1.115695449,1.45129732,1.517753389,1.703424658,1.952897323,Irvington,1925,2801,274193.3962,528490.3529,663271.2889,0.927436474,0.255030078
41051002402,41051002402,682,899,1061,0.318,0.18,3201,3248,3591,0.015,0.106,34710,44219,51018,0.274,0.154,0.76,0.672,0.756,-0.088,0.084,8.87,-0.084,0.203,0.145,0.194,-0.058,0.048,0.509,0.435,0.43,-0.074,-0.004,1323,0.723,970,0.559,875,0.485,-0.267,-0.098,235700,416300,308400,1.222923239,1.045069468,-0.259188086,0.766228256,0.308442936,1.521626856,1.425684932,1.045069468,Eliot,1412,2033,189271.5,369120,408861.9643,0.950214375,0.107666787
41051002501,41051002501,1331,1686,1764,0.267,0.046,4531,4339,4635,-0.042,0.068,79737,115823,126250,0.453,0.09,0.075,0.092,0.129,0.017,0.037,-1.73,-0.037,0.082,0.085,0.114,0.003,0.029,0.12,0.091,0.147,-0.029,0.056,63,0.045,125,0.094,65,0.049,0.984,-0.48,273300,566700,583000,1.90466176,1.975601491,0.028763014,1.073545554,1.133186974,1.764364106,1.940753425,1.975601491,Alameda,1765,2904,309879.5222,578758.717,717763.1,0.867689458,0.240176742
41051002502,41051002502,630,771,984,0.224,0.276,3835,3907,4217,0.019,0.079,41781,48644,56023,0.164,0.152,0.671,0.574,0.652,-0.097,0.078,9.71,-0.078,0.186,0.184,0.198,-0.002,0.014,0.389,0.415,0.419,0.025,0.004,1308,0.703,1250,0.694,1040,0.546,-0.044,-0.168,289600,537600,540000,1.821591307,1.829888174,0.004464286,0.856353591,0.864640884,1.869593286,1.84109589,1.829888174,Sullivan's Gulch,1281,1620,258734.1224,477949.9706,533008.4677,0.847262997,0.115197197
